star_rating,star_rating_Low,product_category,product_id,product_title,review_date,review_body2
5,0,Books,1419715712,The Wes Anderson Collection: The Grand Budapest Hotel,2015-06-13,カワイイ、、！英語だけど写真だけで満足できる内容でした。シンメトリー、衣装、色彩などウェスアンダーソンの可愛さがつまった本でした。
5,0,Books,0521173787,Cambridge IELTS 8 Student's Book with Answers: Official Examination Papers from University of Cambridge ESOL Examinations (IELTS Practice Tests),2015-08-14,一般的な書店に売っていないので助かります。今後も利用したいと思います。
1,1,Books,0007466714,The One (The Selection),2015-06-18
5,0,Books,0307473473,The Girl with the Dragon Tattoo: Book 1 of the Millennium Trilogy (Vintage Crime/Black Lizard),2015-08-31,映画だけじゃわからないことが、この本を読むとわかります。（当たり前ですが）でも、とにかくこの著者の文章の書き方、内容はやはり良いです。３部作買いました。全部読みます！
1,1,Books,0307741907,The Lost Symbol,2015-08-31,悪党マラークがしたかったことがあまりにもショボすぎてサスペンス、ミステリー小説として、オチがわかったときゲンナリした。
5,0,Books,2321002131,Le Petit Robert Micro: Dictionnaire D'apprentissage De La Langue Francaise,2015-06-12,Micro Robert の1971版を長く使用していたので、使い慣れていたRobertでした。前回の物と比べて 一つの単語を基に動詞、名詞、形容詞、類似語がまとめられており 理解しやすい方法になっていました。 本の中で使用される 言い回し句が沢山、載っているのもとっても良いです。仏和辞典では単語のニュアンスを捉えきれないので、仏仏辞典のほうが理解しやすいか、と思います。欲を言えば、le petitではない 普通サイズなら、目も楽かな と思います。
5,0,Books,1572814748,Universal Waite Pocket Tarot Deck,2015-06-06,久しぶりに使いました。絵の表情がとても好きだし、レビューにあったような、変な臭いや汚いとかなくて、すごく良かったです。梱包も丁寧で早くついたし文句ありません٩(ˊᗜˋ*)و
5,0,Books,0747558191,Harry Potter and the Philosopher's Stone,2015-04-26,汚れもなく、綺麗でした。また、速やかに発送していただきました。
5,0,Books,1484710800,Gravity Falls Dipper's and Mabel's Guide to Mystery and Nonstop Fun! (Guide to Life),2015-04-22,この本は、非常に良好な謎の本です。すぐに読まれるべきである！
5,0,Books,1616551151,Dragon Age: The World of Thedas Volume 1 (Dragon Age 1),2015-05-20,今買うのはちょっと遅いのですが、DGさんの設定が面白くて大好きです。
3,1,Books,0071766588,"Official Guide to the TOEFL Test With CD-ROM, 4th Edition (Official Guide to the Toefl Ibt)",2015-07-27,英語初心者には解説も英語なので理解するのにとても時間がかかります。それよりは日本語で書かれているのを先にやったほうがいいのかと思いました。これから慣れたら使いたいと思います。
3,1,Books,0071771263,Official TOEFL iBT Tests with Audio (Educational Testing Service),2015-07-27,値段も少し高めだが、中身は充実していると思う。まずは普通の公式本をしっかり解いてからなのですぐには使うことはないかな・・・
5,0,Books,0099765217,Fight Club,2015-06-20
2,1,Books,0061997811,Harry Potter Film Wizardry,2015-03-21,内容などは期待通りのものでしたが、破れているページや、折れ曲がっているページがありました。ようやく新品を見つけただけに、残念でした。
5,0,Books,0375834974,"One Fish, Two Fish, Red Fish, Blue Fish Book & CD (Book and CD)",2015-04-17
2,1,Books,1853260231,Frankenstein (Wordsworth Classics),2015-06-15,字が小さすぎて、読みにくいです。フォントも読みにくいと思いました。
5,0,Books,0946535256,Jazz Method for Trumpet (Tutor Book & CD),2015-06-18,このタイプの本は山ほどあるけど、CDの曲もかっこいいし難易度も初心者には良いと思う。イヤホン右側を外せばマイナスワンになるのもGOOD！
5,0,Books,052118939X,English Grammar in Use with Answers and CD-ROM: A Self-Study Reference and Practice Book for Intermediate Learners of English,2015-04-26,分かりやすく丁寧に英語で書いてあるので、とても理解しやすかったです！
4,0,Books,1408865262,Harry Potter and the Philosopher's Stone (Gift Edition),2015-05-05
3,1,Books,0747599874,The Tales of Beedle the Bard (UK) Standard Edition,2015-03-06,ハリーポッターシリーズのファンで、映画の中でこの物語が登場していて、原語でよんでみたいと思い、購入しました。新品ですが、表紙に古びた感じが出ているのがよかったです。ファンにとってはたまらない一冊となるとおもいますが、お値段がすこしだけお高いかなと思いました。あと、本の中は結構文字がびっしりな気がしました。読みやすさという点でも－ということで、星３つです！ただ、内容はほんとうにおもしろかったです(^.^)
5,0,Books,0062012339,The Dirt (The Anniversary Edition): Confessions of the World's Most Notorious Rock Band,2015-04-06,頑張ってでも英語版で読むこと勧めます。翻訳版は、意訳が多いです。ハードカバーの本書は、外に更に豪華なカバーがついており、単純に部屋のお気に入りの場所においてもサマになります。
5,0,Books,0805047905,"Brown Bear, Brown Bear, What Do You See? (Brown Bear and Friends)",2015-03-27,知らず知らず、子供達が覚えて・・・それも楽しそうに発話するので、有難い絵本です！！
5,0,Books,0805053883,"Polar Bear, Polar Bear, What Do You Hear?",2015-03-27,リズムがあって、この本大好きです！！ 子供達も大喜びに違いありません。
5,0,Books,0345803485,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,2015-06-20,表記通りの状態で、表面の傷もあまり目立たなかったです。とてもよい買い物が出来ました(﹡ˆᴗˆ﹡)語学の勉強に使います。
5,0,Books,0071766588,"Official Guide to the TOEFL Test With CD-ROM, 4th Edition (Official Guide to the Toefl Ibt)",2015-08-24,綺麗な商品で、安く買うことが出来たのでよかったです！解説も全て英語なので、とても勉強になります。
